2023-10-30 20:25:09 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 3732
2023-10-30 20:25:09 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-10-30 20:25:09 0 [Note] InnoDB: Uses event mutexes
2023-10-30 20:25:09 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-10-30 20:25:09 0 [Note] InnoDB: Number of pools: 1
2023-10-30 20:25:09 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=6] with future log sequence number 1368259
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=7] with future log sequence number 1388859
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=266] with future log sequence number 1437847
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=397] with future log sequence number 1437847
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 2869571
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=422] with future log sequence number 2869571
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 2869527
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=421] with future log sequence number 2869527
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 2869483
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=420] with future log sequence number 2869483
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 2869439
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 2869439
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=292] with future log sequence number 2869395
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=418] with future log sequence number 2869395
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=291] with future log sequence number 2869351
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=417] with future log sequence number 2869351
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=290] with future log sequence number 2869307
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=416] with future log sequence number 2869307
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=289] with future log sequence number 2869263
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=415] with future log sequence number 2869263
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=288] with future log sequence number 2869203
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 2869203
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 2869159
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 2869159
2023-10-30 20:25:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=286] with future log sequence number 2869115
